state_name,cohort_mean
"Alaska",.572
"Alabama",.645
"Arkansas",.707
"Arizona",.577
"California",.58
"West Virginia",.549
"Connecticut",.668
"District of Columbia",.717
"Delaware",.708
"Florida",.623
"Georgia",.63
"Hawaii",.597
"Iowa",.657
"Idaho",.684
"Illinois",.595
"Indiana",.597
"Kansas",.664
"Kentucky",.645
"Louisiana",.586
"Massachusetts",.679
"Oklahoma",.598
"Maine",.743
"Michigan",.571
"Minnesota",.644
"Missouri",.63
"Mississippi",.66
"Montana",.649
"North Carolina",.69
"North Dakota",.736
"Nebraska",.654
"New Hampshire",.628
"New Jersey",.667
"New Mexico",.573
"Nevada",.519
"New York",.658
"Ohio",.581
"Maryland",.649
"Oregon",.554
"Pennsylvania",.659
"Rhode Island",.705
"South Carolina",.674
"South Dakota",.76
"Tennessee",.622
"Texas",.613
"Utah",.643
"Virginia",.653
"Vermont",.738
"Washington",.594
"Wisconsin",.629
"Colorado",.662
"Wyoming",.628
